State,Geopolitical zone,Nr of Reg Voters,Accredited Voters,Votes cast,Valid votes,Rejected votes,PDP Votes,APC Votes,PDP % Votes,APC % Votes
Abia,South East,1793861,361561,344471,323291,21180,219698,85058,67.96,26.31
Adamawa,North East,1959322,874920,860756,811534,49222,410266,378078,50.55,46.59
Akwa Ibom,South South,2119727,695677,605140,578775,26365,395832,175429,68.39,30.31
Anambra,South East,2389332,675273,625035,605734,19301,524738,33298,86.63,5.5
Bauchi,North East,2453512,1075330,1061955,1024307,37648,209313,798428,20.43,77.95
Bayelsa,South South,923182,344237,335856,321767,14089,197933,118821,61.51,36.93
Benue,North Central,2391276,786069,763872,728912,34960,356817,347668,48.95,47.7
Borno,North East,2319434,987290,955205,919786,35419,71788,836496,7.8,90.94
Cross river,South South,1512915,461033,446046,421901,24145,295737,117302,70.1,27.8
Delta,South South,2719313,891647,882254,829762,52492,594068,221292,71.59,26.67
Ebonyi,South East,1392931,391747,379394,359131,20263,258573,90726,72,25.26
Edo,South South,2150127,604915,599228,560711,38517,275691,267842,49.17,47.77
Ekiti,South West,899919,395741,393709,381132,12577,154032,219231,40.41,57.52
Enugu,South East,1935168,452765,451063,421014,30049,355553,54423,84.45,12.93
Gombe,North East,1385191,604240,580649,554203,26446,138484,402961,24.99,72.71
Imo,South East,2037569,585741,542777,511586,31191,334923,140463,65.47,27.46
Jigawa,North West,2104889,1171801,1149922,1106244,43678,289895,794738,26.21,71.84
Kaduna,North West,3861033,1757868,1709005,1663603,45402,649612,993445,39.05,59.72
Kano,North West,5391581,2006410,1964751,1891134,73617,391593,1464768,20.71,77.45
Katsina,North West,3210422,1628865,1619185,1555473,63712,308056,1232133,19.8,79.21
Kebbi,North West,1802697,835238,803755,756605,47150,154282,581552,20.39,76.86
Kogi,North Central,1640449,570773,553496,521016,32480,218207,285894,41.88,54.87
Kwara,North Central,1401895,489482,486254,459676,26578,138184,308984,30.06,67.22
Lagos,South West,6313507,1196490,1156590,1089567,67023,448015,580825,41.12,53.31
Nasarawa,North Central,1509481,613720,599399,580778,18621,283847,289903,48.87,49.92
Niger,North Central,2375568,911964,896976,851937,45039,218052,612371,25.59,71.88
Ogun,South West,2336887,613397,605938,564256,41682,194655,281762,34.5,49.94
Ondo,South West,1812567,598586,586827,555994,30833,275901,241769,49.62,43.48
Osun,South West,1674729,732984,731882,714682,17200,337377,347634,47.21,48.64
Oyo,South West,2796542,905007,891080,836531,54549,366690,365229,43.83,43.66
Plateau,North Central,2423381,1074042,1062862,1034853,28009,548665,468555,53.02,45.28
Rivers,South South,3215273,678167,666585,642165,24420,473971,150710,73.81,23.47
Sokoto,North West,1895266,950107,925940,871891,54049,361604,490333,41.47,56.24
Taraba,North East,1777105,756111,741564,712877,28687,374743,324906,52.57,45.58
Yobe,North East,1365913,601059,586137,559365,26772,50763,497914,9.08,89.01
Zamfara,North West,1717128,616168,597224,578439,18785,125423,438682,21.68,75.84
FCT,North Central,1335015,467784,451408,423951,27457,259997,152224,61.33,35.91
